Auswertung fÃ¼r: V101220_Charakter_Daten.txt
Tenside: V101220 Mn: 618.283774980164 Mw: 709.1621952602341 PDI: 1.1469849670290728 EOGruppen: 6.772744525559491 CO2 Gruppen: 4.435487184900373 CO2 Gehalt: 27.52

Summe XI:0.9999999999992376 Summe WI0.9999999999992376
M/Z Relativ xi xi*Mi ni*MI wi=(ni*Mi)/SUMME(ni*MI) mi*wi
200.87 0.0 0.0 0.0 0.0 0.0 0.0
200.87 0.01 2.2808033901849184E-6 4.5814497698644455E-4 2.0087 7.409946622020614E-7 1.4884359779652808E-4
200.89 0.0 0.0 0.0 0.0 0.0 0.0
200.89 0.01 2.2808033901849184E-6 4.581905930542482E-4 2.0088999999999997 7.410684407316776E-7 1.488732390585867E-4
200.96 0.01 2.2808033901849184E-6 4.583502492915612E-4 2.0096000000000003 7.413266655853352E-7 1.4897700671602897E-4
200.96 0.0 0.0 0.0 0.0 0.0 0.0
200.96 0.0 0.0 0.0 0.0 0.0 0.0
200.97 0.0 0.0 0.0 0.0 0.0 0.0
200.98 0.0 0.0 0.0 0.0 0.0 0.0
201.01 0.01 2.2808033901849184E-6 4.584642894610704E-4 2.0101 7.41511111909376E-7 1.4905114860490367E-4
201.01 0.01 2.2808033901849184E-6 4.584642894610704E-4 2.0101 7.41511111909376E-7 1.4905114860490367E-4
201.03 0.0 0.0 0.0 0.0 0.0 0.0
201.04 0.0 0.0 0.0 0.0 0.0 0.0
201.05 0.0 0.0 0.0 0.0 0.0 0.0
201.08 0.0 0.0 0.0 0.0 0.0 0.0
201.08 0.01 2.2808033901849184E-6 4.586239456983834E-4 2.0108 7.417693367630333E-7 1.4915497823631075E-4
201.11 0.01 2.2808033901849184E-6 4.5869236980008895E-4 2.0111000000000003 7.418800045574579E-7 1.4919948771655037E-4
201.12 0.01 2.2808033901849184E-6 4.587151778339908E-4 2.0112 7.41916893822266E-7 1.4921432568553415E-4
201.12 0.01 2.2808033901849184E-6 4.587151778339908E-4 2.0112 7.41916893822266E-7 1.4921432568553415E-4
201.14 0.01 2.2808033901849184E-6 4.5876079390179446E-4 2.0114 7.419906723518825E-7 1.4924400383685763E-4
201.15 0.01 2.2808033901849184E-6 4.587836019356963E-4 2.0115000000000003 7.420275616166907E-7 1.4925884401919735E-4
201.15 0.01 2.2808033901849184E-6 4.587836019356963E-4 2.0115000000000003 7.420275616166907E-7 1.4925884401919735E-4
201.16 0.0 0.0 0.0 0.0 0.0 0.0
201.16 0.01 2.2808033901849184E-6 4.5880640996959817E-4 2.0116 7.420644508814988E-7 1.4927368493932228E-4
201.17 0.0 0.0 0.0 0.0 0.0 0.0
201.18 0.22 5.01776745840682E-5 0.01009474457282284 44.2596 1.6327041047044532E-5 0.003284674117844419
